id,Город дистрибьютора,Торг_точка_грязная,Торг_точка_грязная_адрес,outlet_clean_id
13828,Ростов-на-Дону,Куликова Л.И.ИП м-н 777,"346554, Ростовская обл, Усть-Донецкий р-н, Нижнекундрюченская ст-ца, Пролетарская ул, дом № 6",3378
13829,Ростов-на-Дону,Куликова Л.И.ИП м-н Аист,-,0
13830,Ростов-на-Дону,Куликова Л.И.ИП м-н Аист,"346553, Ростовская обл, Усть-Донецкий р-н, Апаринский х, Социалистическая ул, дом № 84, корпус А",3379
13831,Ростов-на-Дону,Куликова Л.И.ИП м-н Аист,"346553, Ростовская обл, Усть-Донецкий р-н, Апаринский х, Чехова ул, дом № 40",3379
13832,Ростов-на-Дону,Куликова Л.И.ИП м-н Донская Лоза,"346553, Ростовская обл, Усть-Донецкий р-н, Апаринский х, Гагарина ул, дом № 2",3380
13833,Ростов-на-Дону,Куликова Л.И.ИП м-н Кундрючаночка 1,"346554, Ростовская обл, Усть-Донецкий р-н, Нижнекундрюченская ст-ца, Кооперативная ул, дом № 1",0
13834,Ростов-на-Дону,Куликова Л.И.ИП м-н Донская Лоза,-,3380
13835,Ростов-на-Дону,Куликова Л.И.ИП м-н Кундрючаночка 1,-,0
13836,Ростов-на-Дону,Куликова Л.И.ИП м-н Кундрючаночка 1,"346553, Ростовская обл, Усть-Донецкий р-н, Апаринский х, Чехова ул, дом № 40",0
13837,Ростов-на-Дону,Куликова Л.И.ИП м-н Людмила,"346557, Ростовская обл, Усть-Донецкий р-н, Апаринский х, Чехова ул, дом № 40",0
13838,Ростов-на-Дону,Куликова Л.И.ИП м-н Олимп,-,0
13839,Ростов-на-Дону,Куликова Л.И.ИП м-н Олимп,"346553, Ростовская обл, Усть-Донецкий р-н, Апаринский х, Чехова ул, дом № 40;",0
13840,Ростов-на-Дону,Куликова Л.И.ИП м-н Престольный,"346553, Ростовская обл, Усть-Донецкий р-н, Апаринский х, Чехова ул, дом № 40",3382
13841,Ростов-на-Дону,Куликова Л.И.ИП м-н Людмила,-,0
13842,Ростов-на-Дону,Куликова Л.И.ИП м-н Людмила,"346557, Ростовская обл, Усть-Донецкий р-н, Верхнекундрюченская ст-ца, Центральная ул, дом № 50",3381
13843,Ростов-на-Дону,Куликова Л.И.ИП м-н Победа,"346553, Ростовская обл, Усть-Донецкий р-н, Бронницкий х, Центральная ул, дом № 27, корпус А",0
13844,Ростов-на-Дону,Куликова Л.И.ИП м-н Престольный,-,0
13845,Ростов-на-Дону,Куликова Л.И.ИП м-н Престольный,"346553, Ростовская обл, Усть-Донецкий р-н, Апаринский х, Коммунистическая ул, дом № 10, корпус А",3382
13846,Ростов-на-Дону,Куликова Л.И.ИП м-н Терех,-,3383
13847,Ростов-на-Дону,Куликова Л.И.ИП м-н Терех,"346556, Ростовская обл, Усть-Донецкий р-н, Тереховский х, Мира ул, дом № 37",3383
13848,Ростов-на-Дону,Куликова Л.И.ИП м-н Успех,-,3384
13849,Ростов-на-Дону,Куликова Л.И.ИП м-н Успех,"346553, Ростовская обл, Усть-Донецкий р-н, Апаринский х, Комсомольская ул, дом № 7, корпус А",3384
13850,Ростов-на-Дону,Куликова Л.И.ИП м-н Центральный,"346553, Ростовская обл, Усть-Донецкий р-н, Апаринский х, Социалистическая ул, дом № 33, корпус А",0
13851,Ростов-на-Дону,Куличкин Г.В. ИП,-,202
13852,Ростов-на-Дону,Куличкин Г.В. ИП,"347250, Ростовская обл, Константиновский р-н, Константиновск г, 9 Января ул, дом № 106",202
13853,Ростов-на-Дону,Кумова Н.В.ИП,-,3385
13854,Ростов-на-Дону,Кумова Н.В.ИП,"346250, Ростовская обл, Боковский р-н, Боковская ст-ца, Земцовский пер, дом № 12, кв.2",3385
13855,Ростов-на-Дону,Кумскова А.Н. ИП,"346550, Ростовская обл, Усть-Донецкий р-н, Усть-Донецкий рп, Инженерная ул, дом № 17, кв.201",0
13856,Ростов-на-Дону,Кумскова А.Н. ИП,-,203
13857,Ростов-на-Дону,Кумскова А.Н. ИП,"Ростовская обл, Усть-Донецкий р-н, 1,5 км по напрвлению на юго-запад от ст. Усть-Быстрянская",3386
13858,Ростов-на-Дону,Кумскова О.Е.ИП,-,0
13859,Ростов-на-Дону,Кумскова О.Е.ИП,"346555, Ростовская обл, Усть-Донецкий р-н, Усть-Быстрянская ст-ца, Центральная ул, дом № 21",3387
13860,Ростов-на-Дону,Кумскова О.Е.ИП,"346555, Ростовская обл, Усть-Донецкий р-н, Усть-Быстрянская ст-ца, Центральная ул, дом № 25",3387
13861,Ростов-на-Дону,Кумскова О.Е.ИП х.Бородина ул.Шоссейная 2,"346554, Ростовская обл, Усть-Донецкий р-н, Бородино х, м-н ""Маяк""Шоссейная ул, дом № 2",0
13862,Ростов-на-Дону,Кундрюцкова О.П. ИП,-,3388
13863,Ростов-на-Дону,Кундрюцкова О.П. ИП,"Ростовская область, Волгодонск, пер. Западный 4, рынок ""Солнышко""",3388
13864,Ростов-на-Дону,Куницина С.В.ИП,-,3389
13865,Ростов-на-Дону,Куницина С.В.ИП,"347904, Ростовская обл, Таганрог г, Восстания пл, дом № 3-7",3389
13866,Ростов-на-Дону,Куприк Т.В.ИП,-,3390
13867,Ростов-на-Дону,Куприк Т.В.ИП,"346400, Ростовская обл, Новочеркасск г, Ветеринарная ул, дом № 15",3390
13868,Ростов-на-Дону,Курбатова Л.В. ИП,"347871, Ростовская обл, Гуково г, Карла Маркса ул, дом № 103",3391
13869,Ростов-на-Дону,Курбатова Л.В. ИП,-,0
13870,Ростов-на-Дону,Курбатова Л.В. ИП,"347871, Ростовская обл, Гуково г, Киевская ул, дом № 67, кв.29",0
13871,Ростов-на-Дону,"Курбатова Л.В. ИП ул.Киевская, 57","347871, Ростовская обл, Гуково г, Киевская ул, дом № 67, кв.29",3392
13872,Ростов-на-Дону,"Курбатова Л.В. ИП ул.Киевская, 57",-,0
13873,Ростов-на-Дону,"Курбатова Л.В. ИП ул.Киевская, 57","347871, Ростовская обл, Гуково г, Киевская ул, дом № 57",3392
13874,Ростов-на-Дону,Курдюмова М.А. ИП,-,3393
13875,Ростов-на-Дону,Курзанцева В.Н. ИП ул. Антипова,-,0
13876,Ростов-на-Дону,Курзанцева В.Н. ИП ул. Антипова,"346900, Ростовская обл, Новошахтинск г, Антипова ул, дом № 111/17",3394
13877,Ростов-на-Дону,Курзанцева В.Н. ИП ул.Короленко,"346930, Ростовская обл, Новошахтинск г, Королева ул, дом № 7",3395
13878,Ростов-на-Дону,Курзанцева О.А.ИП,"346930, Ростовская обл, Новошахтинск г, Королева ул, дом № 7",3396
13879,Ростов-на-Дону,Курзанцева В.Н. ИП ул. Антипова,"346937, Ростовская обл, Новошахтинск г, Громовой ул, дом № 122",0
13880,Ростов-на-Дону,Курзанцева В.Н. ИП ул. Пирогова 16,"346937, Ростовская обл, Новошахтинск г, Громовой ул, дом № 122",3397
13881,Ростов-на-Дону,Курзанцева В.Н. ИП ул.Железнякова,"346937, Ростовская обл, Новошахтинск г, Громовой ул, дом № 122",0
13882,Ростов-на-Дону,Курзанцева В.Н. ИП ул.Шахтная,-,3398
13883,Ростов-на-Дону,Курзанцева В.Н. ИП ул.Шахтная,"346937, Ростовская обл, Новошахтинск г, Громовой ул, дом № 122",3398
13884,Ростов-на-Дону,Курзанцева В.Н. ИП ул. Пирогова 16,-,0
13885,Ростов-на-Дону,Курзанцева В.Н. ИП ул. Пирогова 16,"346937, Ростовская обл, Новошахтинск г, Пирогова ул, дом № 16-Б",3397
13886,Ростов-на-Дону,Курзанцева В.Н. ИП ул. Пирогова 42,-,3399
13887,Ростов-на-Дону,Курзанцева В.Н. ИП ул. Пирогова 42,"346937, Ростовская обл, Новошахтинск г, Пирогова ул, дом № 42",3399
13888,Ростов-на-Дону,Курзанцева В.Н. ИП ул.Железнякова,-,0
13889,Ростов-на-Дону,Курзанцева В.Н. ИП ул.Железнякова,"346930, Ростовская обл, Новошахтинск г, Железнякова ул, дом № 43",0
